주소,위도,경도,직선거리(m)
서울특별시 관악구 봉천동 100-357,37.481617358272,126.959378145151,1657.7
서울특별시 동작구 상도동 279-214,37.497039515291,126.937211028737,1765.5
서울특별시 관악구 봉천동 883-6,37.481185941715,126.948368263873,1865.5
서울특별시 관악구 봉천동 1660-12,37.47742850216,126.961338504665,2143.6
서울특별시 관악구 봉천동 1687-1,37.477617681715,126.964009062836,2175.8
서울특별시 동작구 흑석동 186-58,37.508106309691,126.959564055763,1315.3
서울특별시 관악구 봉천동 1688-79,37.477159945982,126.966327413435,2288.4
서울특별시 관악구 봉천동 1688-94,37.476867585199,126.966123649369,2312.7
서울특별시 동작구 상도1동 483-13,37.50355472672,126.951920933533,919.7
서울특별시 관악구 봉천동 1528-12,37.47989739174,126.941777573406,2287.2
서울특별시 동작구 사당동 1025-14,37.47971730655,126.977470734612,2578.4
서울특별시 관악구 봉천동 1622-28,37.476584318782,126.956743126249,2206.7
서울특별시 관악구 봉천동 179-58,37.472390768804,126.96636597019,2792.1
서울특별시 동작구 상도동 256-52,37.49839176773,126.932975066329,2149.0
서울특별시 관악구 봉천동 866-11,37.479758294057,126.951235796768,1926.8
서울특별시 관악구 봉천동 49-13,37.484382254763,126.952392834682,1405.0
서울특별시 관악구 봉천동 1708,37.484526800683,126.942894629642,1829.1
서울특별시 관악구 봉천동 196-48,37.473588165582,126.964969545121,2630.2
서울특별시 동작구 사당동 419-141,37.477459599021,126.976599519596,2715.7
서울특별시 동작구 상도1동 401-1,37.501794988057,126.95005218822,868.9
서울특별시 동작구 상도동 279-68,37.495137787189,126.936452215042,1836.7
서울특별시 동작구 상도1동 680,37.503897672288,126.94850958276,1131.0
서울특별시 동작구 상도동 211-112,37.498265829635,126.946866813557,935.0
서울특별시 동작구 사당동 296-26,37.48165557975,126.971310790149,2060.5
서울특별시 관악구 봉천동 895-9,37.480916924533,126.946765392528,1955.2
서울특별시 동작구 사당동 300-44,37.480051115844,126.970179736135,2150.6
서울특별시 동작구 상도동 283-106,37.494180741484,126.937236006808,1779.6
서울특별시 관악구 봉천동 876-1,37.480724937041,126.950273135188,1850.0
서울특별시 관악구 봉천동 30-2,37.484094378298,126.955968722215,1375.6
서울특별시 동작구 상도1동 437,37.50231680344,126.951612228039,820.2
서울특별시 동작구 사당동 419-131,37.477965153511,126.976754249528,2681.1
서울특별시 관악구 봉천동 41-552,37.486027831904,126.952152274061,1239.3
서울특별시 관악구 봉천동 912-1,37.482459571903,126.946196848036,1831.8
서울특별시 관악구 봉천동 196-260,37.474880655052,126.962623031327,2442.9
서울특별시 관악구 봉천동 1528-14,37.479755486119,126.941915874808,2292.7
서울특별시 동작구 상도동 169-2,37.504794913113,126.941966920598,1635.1
서울특별시 동작구 사당동 212-1,37.486941794626,126.967190330367,1374.0
서울특별시 동작구 사당동 169-8,37.486364742502,126.973041569336,1789.7
서울특별시 관악구 봉천동 1688-40,37.478011212069,126.964881535137,2156.7
서울특별시 관악구 봉천동 1659-10,37.47689352719,126.962656726578,2224.5
서울특별시 동작구 흑석동 186-4,37.508404998811,126.959999244176,1354.6
서울특별시 관악구 봉천동 1667-13,37.482230578308,126.954615883042,1594.9
서울특별시 동작구 흑석동 186-140,37.508811227749,126.958895096071,1385.2
